3141|Servicio de telefonía tradicional
3151|Servicio de telefonía celular
3161|Servicios de telecomunicaciones y satélites
3171|Servicios de acceso de Internet, redes y procesamiento de información
3181|Servicios postales y de mensajería
3182|Servicio telegráfico
3191|Servicios integrales
3192|Contratación de otros servicios
3211|Arrendamiento de terrenos
3221|Arrendamiento de edificios y locales
3231|Arrendamiento de mobiliario y equipo de administración
3232|Arrendamiento de mobiliario y equipo educativo y recreativo
3233|Arrendamiento de bienes y equipo informático
3241|Arrendamiento de equipo e instrumental médico y de laboratorio
3251|Arrendamiento de equipo de transporte
3261|Arrendamiento de maquinaria y otros equipos
3262|Arrendamiento de herramientas
3263|Concesionarios de aseo
3291|Otros arrendamientos
3311|Servicios legales
3312|Servicios de contabilidad
3313|Servicios de auditoría
3314|Otros servicios
3321|Servicios de diseño, arquitectura, ingeniería y actividades relacionadas
3331|Servicios de consultoría administrativa, procesos, técnica y en tecnologías de la información
3341|Servicios de capacitación
3351|Servicios de investigación científica y desarrollo
3361|Impresiones oficiales
3362|Servicio de apoyo administrativo
3363|Servicio de fotocopiado e impresión
3371|Servicios de protección y seguridad
3381|Servicios de vigilancia
3391|Servicios profesionales, científicos y técnicos integrales
3411|Servicios financieros y bancarios
3412|Diferencias en cambios
3421|Servicios de cobranza, investigación crediticia y similar
3431|Servicios de recaudación, traslado y custodia de valores
3441|Seguros de responsabilidad patrimonial y fianzas
3451|Seguro de bienes patrimoniales
3461|Almacenaje, envase y embalaje
3471|Fletes y maniobras
3481|Comisiones por ventas
3491|Servicios financieros, bancarios y comerciales integrales
3511|Conservación y mantenimiento de inmuebles
3512|Instalaciones
3513|Adaptación de inmuebles
3521|Instalación, reparación y mantenimiento de mobiliario y equipo de administración, educacional y recreativo
3531|Instalación, reparación y mantenimiento de equipo de cómputo y tecnología de la información
3541|Instalación, reparación y mantenimiento de equipo e instrumental médico y de laboratorio
3551|Reparación y mantenimiento de equipo de transporte
3561|Reparación y mantenimiento de equipo de defensa y seguridad
3571|Instalación, reparación y mantenimiento de maquinaria, otros equipos y herramienta
3581|Servicios de limpieza y manejo de desechos
3591|Servicios de jardinería y fumigación
3611|Difusión por radio, televisión y otros medios de mensajes sobre programas y actividades gubernamentales
3612|Impresión y elaboración de publicaciones oficiales y de información general para difusión
3613|Espectáculos culturales
3621|Promoción para la venta de bienes y servicios
3631|Servicios de creatividad, preproducción y producción de publicidad, excepto Internet
3641|Servicios de revelado de fotografías
3651|Servicio de la industria fílmica, del sonido y el video
3661|Servicio de creación y difusión de contenido exclusivamente a través de Internet
3691|Otros servicios de información
3711|Pasajes aéreos nacionales
3712|Pasajes aéreos internacionales
3721|Pasajes terrestres
3751|Viáticos en el país
3761|Viáticos en el extranjero
3791|Otros servicios de traslado y hospedaje
3811|Gastos de ceremonial
3812|Eventos institucionales
3821|Gastos de orden social y cultural
3831|Congresos, convenciones y eventos especiales
3841|Exposiciones
3851|Gastos de representación
3852|Gastos de oficina y organización
3961|Otros gastos por responsabilidades
3981|Impuesto sobre nóminas
3991|Otros servicios generales
5111|Muebles de oficina y estantería
5121|Muebles, excepto de oficina y estantería
5131|Bienes artísticos, culturales y científicos
5141|Objetos de valor
5151|Equipo de cómputo y de tecnologías de la información
5191|Otros mobiliarios y equipos de administración
5211|Equipos y aparatos audiovisuales
5221|Aparatos deportivos
5231|Cámaras fotográficas y de video
5291|Otro mobiliario y equipo educacional y recreativo
5311|Equipo médico y de laboratorio
5321|Instrumental médico y de laboratorio
5411|Vehículos y equipo terrestre
5421|Carrocerías y remolques
5431|Equipo aeroespacial
5491|Otro equipo de transporte
5511|Equipo de defensa y de seguridad
5512|Armamento de defensa pública
5611|Maquinaria y equipo agropecuario
5621|Maquinaria y equipo industrial
5631|Maquinaria y equipo de construcción
5641|Sistemas de aire acondicionado, calefacción y refrigeración industrial y comercial
5651|Equipo de comunicación y telecomunicación
5661|Equipos de generación eléctrica, aparatos y accesorios eléctricos
5671|Herramientas y máquinas-herramienta
5672|Refacciones y accesorios mayores
5691|Otros equipos
5891|Otros bienes inmuebles
5911|Software
5921|Patentes
5931|Marcas
5971|Licencias informáticas e intelectuales
5991|Otros activos intangibles
